Date:       17/12/25,,,,,,,
Time:       20:03,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
R10,0R,TopLayer,RESC1005X37N,2440.205,1474.995,0,RES 0 OHM JUMPER 1/16W 0402
R9,0R,TopLayer,RESC1005X37N,2440.205,1524.995,0,RES 0 OHM JUMPER 1/16W 0402
C23,47uF,TopLayer,CAPC1005X65N,905,555,0,0805 47 uF 6.3 V ±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor
C22,100uF,TopLayer,CAPC1005X65N,995,555,180,1206 100 uF 6.3 V ±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor
J1,217179-0001,TopLayer,FP-2171790001-MFG,184.783,1920,270,CONN RCP USB2.0 TYP C 24P SMD RA
J2,6-Pins,TopLayer,SAMTEC-FTS-106-01-X-S,1820,70,180,Conn Unshrouded Header HDR 6 POS 1.27mm Solder ST Thru-Hole Tube
J5,6-Pins,TopLayer,SAMTEC-FTS-106-01-X-S,3280.569,902.677,270,Conn Unshrouded Header HDR 6 POS 1.27mm Solder ST Thru-Hole Tube
U5,ESP_S3_MINI_1_N8,TopLayer,XCVR_ESP32-S3-MINI-1-N8,2459.055,1868.409,0,"SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
U4,IC Transceiver,TopLayer,FP-D0008A-IPC_B,2510,240,0,IC TRANSCEIVER HALF 1/1 8SOIC
U3,Buck Converter,TopLayer,TSOT23-6_MP2459_MNP-L,1169.25,162.598,0,IC REG BUCK ADJ 500MA TSOT23-6
U2,AP2112K-3.3TRG1,TopLayer,FP-SOT25-IPC_A,1668.228,2030,0,AP2112 Series 0.6 A 3.3 V Fixed Output SMT LDO Linear Regulator - SOT23-5
U1,FT231XQ-R,TopLayer,FP-QFN-20-IPC_B,975,1920,270,IC USB SERIAL FULL UART 20QFN
SW2,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,3120,1620,180,SWITCH TACTILE SPST-NO 0.05A 12V
SW1,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,3120,1960,0,SWITCH TACTILE SPST-NO 0.05A 12V
R26,10K,TopLayer,RESC1005X37N,2890,1530,270,RES 10K OHM 1% 1/16W 0402
R25,10K,TopLayer,RESC1005X37N,1240,1795,270,RES 10K OHM 1% 1/16W 0402
R24,10K,TopLayer,RESC1005X37N,1305,2045,0,RES 10K OHM 1% 1/16W 0402
R23,27R,TopLayer,RESC1005X37N,2805,1952.992,90,RES 27 OHM 1% 1/16W 0402
R22,27R,TopLayer,RESC1005X37N,2065,1880,0,RES 27 OHM 1% 1/16W 0402
R21,27R,TopLayer,RESC1005X37N,2805,1857.992,270,RES 27 OHM 1% 1/16W 0402
R20,10K,TopLayer,RESC1005X37N,2875,2057.008,270,RES 10K OHM 1% 1/16W 0402
R19,1K,TopLayer,RESC1005X37N,3287.992,700,180,RES 1K OHM 1% 1/16W 0402
R18,1K,TopLayer,RESC1005X37N,3292.992,1105,180,RES 1K OHM 1% 1/16W 0402
R17,120R,TopLayer,RESC1005X37N,3045,240,90,RES 120 OHM 1% 1/16W 0402
R16,0R,TopLayer,RESC1005X37N,2717.992,210,0,RES 0 OHM JUMPER 1/16W 0402
