Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\V3_ECU_Actuators\Project Outputs for V3_ECU_Actuators\Pick Place\Pick Place for V3_ECU_Actuators.csv

========================================================================================================================
File Design Information:

Date:       14/01/26
Time:       04:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R17","0R, 0805","TopLayer","RESC2012X60N","245.000","1495.000","270","0 Ohms Jumper Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film"
"R16","100k?","TopLayer","RESC1005X37N","1765.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R15","22O","TopLayer","RESC1005X37N","1700.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R14","100k?","TopLayer","RESC1005X37N","1975.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R13","100k?","TopLayer","RESC1005X37N","1560.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R12","100k?","TopLayer","RESC1005X37N","1360.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R11","22O","TopLayer","RESC1005X37N","1910.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R10","22O","TopLayer","RESC1005X37N","1495.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R9","22O","TopLayer","RESC1005X37N","1295.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R8","100k?","TopLayer","RESC1005X37N","1165.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R7","100k?","TopLayer","RESC1005X37N","970.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R6","100k?","TopLayer","RESC1005X37N","770.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R5","100k?","TopLayer","RESC1005X37N","560.000","520.000","90","Res Thin Film 0402 100K Ohm 1% 1/16W ±50ppm/°C Molded SMD SMD Paper T/R"
"R4","22O","TopLayer","RESC1005X37N","1095.000","520.000","270","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
