Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\V4_Supervision\Project Outputs for V4_Supervision\Pick Place\Pick Place for V4_Supervision.csv

========================================================================================================================
File Design Information:

Date:       18/01/26
Time:       06:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R23","1k?","TopLayer","RESC1005X37N","2235.000","1610.000","180","RES 1K OHM 1% 1/16W 0402"
"R22","1k?","TopLayer","RESC1005X37N","1885.000","160.000","90","RES 1K OHM 1% 1/16W 0402"
"R21","1k?","TopLayer","RESC1005X37N","1560.000","1482.008","270","RES 1K OHM 1% 1/16W 0402"
"U10","Buffer","TopLayer","PW0014A_L","1862.598","726.654","90","Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-TSSOP"
"U9","Buffer","TopLayer","PW0014A_L","1863.898","1161.653","90","Buffer, Non-Inverting 4 Element 1 Bit per Element 3-State Output 14-TSSOP"
"U8","V-Ref","TopLayer","TO-92","970.000","800.000","180","V-Ref Adjustable 2.495V to 36V 100mA 3-Pin TO-92 Bulk"
"U7","74LVC74","TopLayer","SOP65P640X120-14N","1305.000","1015.000","180","Dual positive-edge-triggered D-type flip-flops with clear and preset 14-TSSOP -40 to 125"
"U6","74LVC04","TopLayer","QFN50P300X250X100-15N","1606.496","1245.158","90","74LVC Series 3.6 V High Performance Hex Inverter Surface Mount - DHVQFN-14"
"U5","74LVC1G14","TopLayer","SOT65P212X110-5N","1080.000","1260.000","90","Inverter IC 1 Channel Schmitt Trigger 5-TSSOP"
"U4","74LVC11","TopLayer","QFN50P300X250X100-15N","1535.000","685.000","90","AND Gate IC 3 Channel 14-DHVQFN (2.5x3)"
"U3","Comparator","TopLayer","ONSC-SOIC-8-751-07_V","590.000","1055.000","90","Comparator Standard (General Purpose) Open-Collector, Rail-to-Rail 8-SOIC"
"U2","Comparator","TopLayer","ONSC-SOIC-8-751-07_V","610.000","1585.000","90","Comparator Standard (General Purpose) Open-Collector, Rail-to-Rail 8-SOIC"
"U1","Comparator","TopLayer","ONSC-SOIC-8-751-07_V","500.000","440.000","90","Comparator Standard (General Purpose) Open-Collector, Rail-to-Rail 8-SOIC"
"SW1","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1289.599","267.543","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"R20","10k? 0603","TopLayer","RESC1508X55N","875.000","650.000","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R19","10k? 0603","TopLayer","RESC1508X55N","1000.000","650.000","180","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
